Time;CO2 ();P_1 ();P_2 ();Temp;Tem;arret ();cause_arret ();consigne_CO2 ();debit ();envoie_mail ();etape ();oxygene ();ph_carte ()
2023-05-16 09:41:13;1137;318;-25;189;181;0;2;1100;1720;0;110;129;478
2023-05-16 09:41:43;1252;442;-215;189;181;0;2;1100;4200;0;110;132;478
2023-05-16 09:42:13;1141;452;-231;189;181;0;2;1100;4182;0;110;131;478
2023-05-16 09:42:43;1125;455;-230;189;181;0;2;1100;4193;0;110;129;478
2023-05-16 09:43:13;1128;482;-230;189;181;0;2;1100;4439;0;110;125;478
2023-05-16 09:43:43;1128;459;-234;189;182;0;2;1100;4186;0;110;119;478
2023-05-16 09:44:13;1125;460;-232;189;181;0;2;1100;4162;0;110;116;478
2023-05-16 09:44:43;1125;457;-232;189;182;0;2;1100;4202;0;110;113;478
2023-05-16 09:45:13;1124;450;-234;190;181;0;2;1100;4195;0;110;112;478
2023-05-16 09:45:43;1125;459;-232;189;181;0;2;1100;3956;0;110;109;478
2023-05-16 09:46:13;1124;454;-234;189;181;0;2;1100;4193;0;110;108;478
2023-05-16 09:46:43;1122;450;-236;189;181;0;2;1100;4186;0;110;108;478
2023-05-16 09:47:13;1120;286;-213;190;181;0;2;1100;182;0;110;108;478
2023-05-16 09:47:43;1119;115;-24;189;181;0;2;1100;0;0;110;107;478
2023-05-16 09:48:13;1350;452;-220;190;181;0;2;1100;4200;0;110;110;478
2023-05-16 09:48:44;1128;289;-251;189;182;0;2;1100;2487;0;110;117;478
2023-05-16 09:49:14;1097;207;-265;190;182;0;2;1100;1632;0;110;119;478
2023-05-16 09:49:44;1086;146;-30;190;181;0;2;1100;0;0;110;120;478
2023-05-16 09:50:14;1084;322;-102;189;182;0;2;1100;2925;0;110;119;478
2023-05-16 09:50:44;1203;247;-241;190;182;0;2;1100;2072;0;110;146;478
2023-05-16 09:51:14;1102;426;-253;190;181;0;2;1100;3852;0;110;151;478
2023-05-16 09:51:44;1091;156;-68;190;182;0;2;1100;0;0;110;142;478
2023-05-16 09:52:14;1090;130;-25;190;182;0;2;1100;0;0;110;135;478
2023-05-16 09:52:44;1090;85;-27;190;182;0;2;1100;0;0;110;131;478
2023-05-16 09:53:14;1090;87;-27;190;182;0;2;1100;0;0;110;131;478
2023-05-16 09:53:44;1089;87;-27;190;181;0;2;1100;0;0;110;131;478
2023-05-16 09:54:14;1090;90;-26;190;181;0;2;1100;0;0;110;130;478
2023-05-16 09:54:44;1089;89;-27;190;181;0;2;1100;0;0;110;131;478
2023-05-16 09:55:14;1089;90;-26;190;182;0;2;1100;0;0;110;130;478
2023-05-16 09:55:44;1090;92;-26;190;181;0;2;1100;0;0;110;129;478
2023-05-16 09:56:14;1088;92;-25;190;182;0;2;1100;0;0;110;130;478
2023-05-16 09:56:44;1088;94;-26;190;182;0;2;1100;0;0;110;129;478
2023-05-16 09:57:14;1089;94;-26;191;181;0;2;1100;0;0;110;129;478
2023-05-16 09:57:44;1088;94;-25;190;181;0;2;1100;0;0;110;129;478
2023-05-16 09:58:14;1087;95;-25;191;182;0;2;1100;0;0;110;129;478
2023-05-16 09:58:44;1088;96;-25;190;182;0;2;1100;0;0;110;129;479
2023-05-16 09:59:14;1088;94;-24;191;182;0;2;1100;0;0;110;129;478
2023-05-16 09:59:44;1087;96;-22;191;182;0;2;1100;0;0;110;129;478
2023-05-16 10:00:14;1087;96;-22;190;182;0;2;1100;0;0;110;129;478
2023-05-16 10:00:44;1087;97;-22;190;182;0;2;1100;0;0;110;129;478
2023-05-16 10:01:14;1087;96;-21;190;182;0;2;1100;0;0;110;129;478
2023-05-16 10:01:44;1087;97;-22;190;182;0;2;1100;0;0;110;129;478
2023-05-16 10:02:14;1087;97;-24;191;182;0;2;1100;0;0;110;128;478
2023-05-16 10:02:44;1087;98;-24;191;182;0;2;1100;0;0;110;129;478
2023-05-16 10:03:14;1087;98;-24;190;183;0;2;1100;0;0;110;129;478
2023-05-16 10:03:44;1086;100;-22;191;182;0;2;1100;0;0;110;129;478
2023-05-16 10:04:14;1087;100;-22;192;182;0;2;1100;0;0;110;129;479
2023-05-16 10:04:44;1086;100;-22;191;183;0;2;1100;0;0;110;129;478
2023-05-16 10:05:15;1087;100;-22;191;183;0;2;1100;0;0;110;129;478
2023-05-16 10:05:45;1087;100;-21;191;183;0;2;1100;0;0;110;129;479
2023-05-16 10:06:15;1086;98;-22;191;183;0;2;1100;0;0;110;129;478
2023-05-16 10:06:45;1085;98;-21;192;183;0;2;1100;0;0;110;129;478
2023-05-16 10:07:15;1087;100;-20;191;182;0;2;1100;0;0;110;130;478
2023-05-16 10:07:45;1085;100;-20;191;183;0;2;1100;0;0;110;130;478
2023-05-16 10:08:15;1085;100;-20;191;183;0;2;1100;0;0;110;129;478
2023-05-16 10:08:46;1085;102;-22;191;183;0;2;1100;0;0;110;129;479
2023-05-16 10:09:16;1086;100;-20;191;183;0;2;1100;0;0;110;128;479
2023-05-16 10:09:46;1085;100;-21;191;183;0;2;1100;0;0;110;129;479
2023-05-16 10:10:16;1086;100;-20;192;183;0;2;1100;0;0;110;129;478
2023-05-16 10:10:46;1085;101;-21;191;183;0;2;1100;0;0;110;129;478
2023-05-16 10:11:16;1086;100;-20;192;183;0;2;1100;0;0;110;130;478
